antiguedad,caja_cambios,descripcion,marca_modelo,millas,motor,precio_libra
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","40,214 miles",Petrol,"£21,950"
2019 reg,Automatic,2L SE 520d,"BMW, ,5 Series","31,094 miles",Diesel,"£22,000"
2019 reg,Automatic,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","11,301 miles",Petrol,"£22,100"
2017 reg,Automatic,3L M Sport 440i,"BMW, ,4 Series Gran Coupe","59,659 miles",Petrol,"£22,100"
2017 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","42,812 miles",Petrol,"£22,100"
2018 reg,Automatic,2L M Sport 330e,"BMW, ,3 Series","27,215 miles",Plug-in hybrid,"£22,150"
2018 reg,Automatic,2L M Sport 430i,"BMW, ,4 Series Gran Coupe","45,292 miles",Petrol,"£22,150"
2018 reg,Automatic,2L M Sport 20i,"BMW, ,X2","32,295 miles",Petrol,"£22,150"
2018 reg,Automatic,2L M Sport X 18d,"BMW, ,X2","22,031 miles",Diesel,"£22,150"
2019 reg,Automatic,2L Sport 20i,"BMW, ,X2","19,046 miles",Petrol,"£22,150"
2018 reg,Automatic,21.6kWh,"BMW, ,i3","29,328 miles",Electric,"£22,150"
2017 reg,Automatic,2L M Sport 530e,"BMW, ,5 Series","49,387 miles",Plug-in hybrid,"£22,150"
2017 reg,Automatic,2L xLine 20d,"BMW, ,X3","43,251 miles",Diesel,"£22,200"
2019 reg,Automatic,2L M Sport 20d,"BMW, ,X2","51,716 miles",Diesel,"£22,200"
2019 reg,Automatic,1.5L M Sport 18i,"BMW, ,X2","26,865 miles",Petrol,"£22,200"
2019 reg,Automatic,2L M Sport 520d,"BMW, ,5 Series","57,847 miles",Diesel,"£22,250"
2018 reg,Automatic,2L xLine 20i,"BMW, ,X1","11,512 miles",Petrol,"£22,250"
2019 reg,Automatic,2L Sport 20i,"BMW, ,X2","21,030 miles",Petrol,"£23,300"
2021 reg,Automatic,1.5L M Sport 218i,"BMW, ,2 Series Active Tourer","2,610 miles",Petrol,"£23,300"
2019 reg,Automatic,2L Sport 20d,"BMW, ,X1","10,132 miles",Diesel,"£23,350"
2018 reg,Automatic,2L M Sport X 20d,"BMW, ,X2","14,778 miles",Diesel,"£23,350"
2019 reg,Automatic,1.5L Sport 18i,"BMW, ,X1","25,161 miles",Petrol,"£23,400"
2017 reg,Automatic,2L M Sport 20d,"BMW, ,X4","53,201 miles",Diesel,"£23,400"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","16,725 miles",Petrol,"£23,400"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","41,672 miles",Petrol,"£23,400"
2019 reg,Automatic,2L M Sport 20d,"BMW, ,X3","113,459 miles",Diesel,"£23,500"
2019 reg,Automatic,1.5L Sport 18i,"BMW, ,X1","28,047 miles",Petrol,"£23,500"
2018 reg,Automatic,2L M Sport 20d,"BMW, ,X2","23,800 miles",Diesel,"£23,500"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","30,712 miles",Petrol,"£23,500"
2019 reg,Automatic,2L xLine 20i,"BMW, ,X1","19,682 miles",Petrol,"£23,550"
2019 reg,Automatic,2L Sport 20i,"BMW, ,X2","12,954 miles",Petrol,"£23,600"
2017 reg,Automatic,2L M Sport 20d,"BMW, ,X3","35,942 miles",Diesel,"£23,600"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","25,712 miles",Petrol,"£23,650"
2017 reg,Automatic,2L M Sport 530e,"BMW, ,5 Series","36,171 miles",Plug-in hybrid,"£23,700"
2019 reg,Automatic,1.5L Sport 218i,"BMW, ,2 Series","12,251 miles",Petrol,"£23,750"
2020 reg,Automatic,2L SE 20i,"BMW, ,X1","35,264 miles",Petrol,"£23,800"
2020 reg,Automatic,1.5L Sport 118i,"BMW, ,1 Series","18,357 miles",Petrol,"£23,800"
2019 reg,Automatic,2L M Sport 220d,"BMW, ,2 Series","8,417 miles",Diesel,"£23,850"
